date,avoid_ambulance_mobilized_on_road
5:06:10,0.9031
5:06:20,0.9033
5:06:30,0.9036
5:06:40,0.9038
5:06:50,0.9038
5:07:00,0.9038
5:07:10,0.9038
5:07:20,0.9038
5:07:30,0.9038
5:07:40,0.9038
5:07:50,0.9038
5:08:00,0.9038
5:08:10,0.9038
5:08:20,0.9038
5:08:30,0.9038
5:08:40,0.9038
5:08:50,0.9038
5:09:00,0.9038
5:09:10,0.9038
5:09:20,0.9038
5:09:30,0.9038
5:09:40,0.9038
5:09:50,0.9038
5:10:00,0.9038
5:10:10,0.9038
5:10:20,0.9038
5:10:30,0.9038
5:10:40,0.9038
5:10:50,0.9038
5:11:00,0.9038
5:11:10,0.9038
5:11:20,0.9038
5:11:30,0.9038
5:11:40,0.9038
5:11:50,0.9038
5:12:00,0.9038
5:12:10,0.9038
5:12:20,0.9038
5:12:30,0.9038
5:12:40,0.9038
5:12:50,0.9038
5:13:00,0.9038
5:13:10,0.9038
5:13:20,0.9038
5:13:30,0.9038
5:13:40,0.9038
5:13:50,0.9038
5:14:00,0.9038
5:14:10,0.9038
5:14:20,0.9038
5:14:30,0.9038
5:14:40,0.9038
5:14:50,0.9038
5:15:00,0.9038
5:15:10,0.9038
5:15:20,0.9038
5:15:30,0.9038
5:15:40,0.9038
5:15:50,0.9038
5:16:00,0.9038
5:16:10,0.9038
5:16:20,0.9038
5:16:30,0.9038
5:16:40,0.9038
5:16:50,0.9038
5:17:00,0.9038
5:17:10,0.9038
5:17:20,0.9038
5:17:30,0.9038
5:17:40,0.9038
5:17:50,0.9038
5:18:00,0.9038
5:18:10,0.9038
5:18:20,0.9038
5:18:30,0.9038
5:18:40,0.9038
5:18:50,0.9038
5:19:00,0.9038
5:19:10,0.9038
5:19:20,0.9038
5:19:30,0.9038
5:19:40,0.9038
5:19:50,0.9038
5:20:00,0.9038
5:20:10,0.9041
5:20:20,0.9043
5:20:30,0.9046
5:20:40,0.9024
5:20:50,0.9003
5:21:00,0.8981
5:21:10,0.896
5:21:20,0.8939
5:21:30,0.8917
5:21:40,0.8896
5:21:50,0.8875
5:22:00,0.8854
5:22:10,0.8834
5:22:20,0.8813
5:22:30,0.8792
5:22:40,0.8772
5:22:50,0.8752
5:23:00,0.8732
5:23:10,0.8713
5:23:20,0.8694
5:23:30,0.8697
5:23:40,0.87
5:23:50,0.8703
5:24:00,0.8706
5:24:10,0.871
5:24:20,0.8713
5:24:30,0.8716
5:24:40,0.8719
5:24:50,0.8722
5:25:00,0.8725
5:25:10,0.8728
5:25:20,0.8731
5:25:30,0.8734
5:25:40,0.8737
5:25:50,0.874
5:26:00,0.8743
5:26:10,0.8745
5:26:20,0.8748
5:26:30,0.8751
5:26:40,0.8754
5:26:50,0.8757
5:27:00,0.876
5:27:10,0.8763
5:27:20,0.8765
5:27:30,0.8768
5:27:40,0.8771
5:27:50,0.8774
5:28:00,0.8777
5:28:10,0.8779
5:28:20,0.8782
5:28:30,0.8785
5:28:40,0.8788
5:28:50,0.879
5:29:00,0.8793
5:29:10,0.8796
5:29:20,0.8798
5:29:30,0.8801
5:29:40,0.8804
5:29:50,0.8806
5:30:00,0.8809
5:30:10,0.8812
5:30:20,0.8814
5:30:30,0.8817
5:30:40,0.8819
5:30:50,0.8822
5:31:00,0.8825
5:31:10,0.8827
5:31:20,0.883
5:31:30,0.8832
5:31:40,0.8835
5:31:50,0.8837
5:32:00,0.884
5:32:10,0.8842
5:32:20,0.8845
5:32:30,0.8847
5:32:40,0.885
5:32:50,0.8852
5:33:00,0.8854
5:33:10,0.8857
5:33:20,0.8859
5:33:30,0.8862
5:33:40,0.8864
5:33:50,0.8866
5:34:00,0.8869
5:34:10,0.8871
5:34:20,0.8874
5:34:30,0.8874
5:34:40,0.8874
5:34:50,0.8874
5:35:00,0.8874
5:35:10,0.8874
5:35:20,0.8874
5:35:30,0.8874
5:35:40,0.8874
5:35:50,0.8874
5:36:00,0.8874
5:36:10,0.8874
5:36:20,0.8874
5:36:30,0.8874
5:36:40,0.8874
5:36:50,0.8874
5:37:00,0.8874
5:37:10,0.8874
5:37:20,0.8874
5:37:30,0.8874
5:37:40,0.8874
5:37:50,0.8874
5:38:00,0.8874
5:38:10,0.8874
5:38:20,0.8874
5:38:30,0.8874
5:38:40,0.8874
5:38:50,0.8874
5:39:00,0.8874
5:39:10,0.8874
5:39:20,0.8874
5:39:30,0.8874
5:39:40,0.8874
5:39:50,0.8874
5:40:00,0.8874
5:40:10,0.8874
5:40:20,0.8874
5:40:30,0.8874
5:40:40,0.8874
5:40:50,0.8874
5:41:00,0.8876
5:41:10,0.8878
5:41:20,0.8881
5:41:30,0.8883
5:41:40,0.8885
5:41:50,0.8887
5:42:00,0.889
5:42:10,0.8892
5:42:20,0.8894
5:42:30,0.8897
5:42:40,0.8899
5:42:50,0.8901
5:43:00,0.8903
5:43:10,0.8905
5:43:20,0.8908
5:43:30,0.891
5:43:40,0.8912
5:43:50,0.8914
5:44:00,0.8916
5:44:10,0.8919
5:44:20,0.8921
5:44:30,0.8923
5:44:40,0.8925
5:44:50,0.8927
5:45:00,0.8929
5:45:10,0.8931
5:45:20,0.8934
5:45:30,0.8936
5:45:40,0.8938
5:45:50,0.894
5:46:00,0.8942
5:46:10,0.8926
5:46:20,0.8909
5:46:30,0.8893
5:46:40,0.8877
5:46:50,0.8861
5:47:00,0.8845
5:47:10,0.883
5:47:20,0.8814
5:47:30,0.8798
