date,locals_warned_when_risk_imminent,dusty_environment,sd_dusty_environment,echo,sd_echo,depth_broken,sd_depth_broken,ultrasound_broken,sd_ultrasound_broken,noisy_image,sd_noisy_image,voice_down,sd_voice_down
2017-06-30 08:14:27.8710310,0.8041,0.1225,0.0163931197457958,0.0478260869565217,0.0140710545266189,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:28.8835420,0.8041,0.1225,0.0163931197457958,0.0478260869565217,0.0140710545266189,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:29.8713220,0.8041,0.1225,0.0163931197457958,0.0474137931034483,0.0139527721456124,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:30.8747500,0.8041,0.1225,0.0163931197457958,0.0474137931034483,0.0139527721456124,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:31.8749620,0.8041,0.1225,0.0163931197457958,0.0474137931034483,0.0139527721456124,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:32.8747010,0.8041,0.1225,0.0163931197457958,0.0474137931034483,0.0139527721456124,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:33.8757980,0.8041,0.1225,0.0163931197457958,0.0474137931034483,0.0139527721456124,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:34.8771770,0.8041,0.1225,0.0163931197457958,0.0468085106382979,0.0137790272284448,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:35.8774420,0.8041,0.1225,0.0163931197457958,0.0468085106382979,0.0137790272284448,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:36.8784800,0.8041,0.1225,0.0163931197457958,0.0468085106382979,0.0137790272284448,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:37.8782920,0.8041,0.1225,0.0163931197457958,0.0468085106382979,0.0137790272284448,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:38.8799690,0.8041,0.1225,0.0163931197457958,0.0468085106382979,0.0137790272284448,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:39.8813070,0.8041,0.1225,0.0163931197457958,0.0468085106382979,0.0137790272284448,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:40.8810880,0.8041,0.1225,0.0163931197457958,0.0468085106382979,0.0137790272284448,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:41.8839030,0.8041,0.1225,0.0163931197457958,0.0466101694915254,0.013722068948783,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:42.8853060,0.8041,0.1225,0.0163931197457958,0.0466101694915254,0.013722068948783,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:43.8859080,0.8041,0.1225,0.0163931197457958,0.0466101694915254,0.013722068948783,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:44.8858720,0.8041,0.1225,0.0163931197457958,0.0466101694915254,0.013722068948783,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:45.8870140,0.8041,0.1225,0.0163931197457958,0.0466101694915254,0.013722068948783,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:46.8898610,0.8041,0.1225,0.0163931197457958,0.0466101694915254,0.013722068948783,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
